author,comment,changed files,lines added,lines deleted,msg_len,buggy
6,84,2,22.0,6.0,40,0
328,84,1,14.0,7.0,61,0
170,96,1,1.0,0.0,57,0
343,0,44,695.0,478.0,46,0
432,84,1,3.0,1.0,64,0
336,84,2,7.0,1.0,49,0
195,84,1,9.0,6.0,77,0
538,84,3,81.0,4.0,68,0
591,84,2,38.0,2.0,64,0
486,97,1,7.0,7.0,46,0
439,84,1,13.0,6.0,45,0
376,84,1,4.0,3.0,72,0
579,84,1,14.0,16.0,65,0
376,84,1,2.0,3.0,67,0
579,84,2,6.0,6.0,62,1
228,84,3,41.0,2.0,46,0
118,84,2,51.0,1.0,52,0
579,84,1,4.0,5.0,58,0
170,61,3,3.0,3.0,51,0
604,97,4,694.0,748.0,45,0
375,84,1,6.0,6.0,41,0
327,84,1,1.0,1.0,52,0
399,84,1,10.0,12.0,69,0
354,84,2,77.0,0.0,54,0
354,84,1,6.0,1.0,48,0
491,84,1,6.0,0.0,66,1
328,84,1,5.0,1.0,30,0
170,84,1,1.0,0.0,43,0
328,84,2,4.0,2.0,47,0
428,84,1,4.0,2.0,66,0
287,0,1,11.0,0.0,28,0
399,84,1,1.0,0.0,62,0
328,84,1,2.0,0.0,28,0
328,84,2,74.0,2.0,55,0
575,0,1,1.0,1.0,50,0
218,0,1,8.0,6.0,26,0
26,84,1,2.0,3.0,54,0
604,84,3,239.0,226.0,46,0
328,84,1,1.0,1.0,31,0
328,84,2,69.0,1.0,25,0
33,84,1,2.0,1.0,42,0
232,84,1,26.0,0.0,62,0
387,84,3,30.0,30.0,31,0
432,84,3,79.0,32.0,53,0
387,84,1,12.0,11.0,63,0
428,84,1,1.0,0.0,38,0
563,30,3,12.0,0.0,86,0
328,84,1,2.0,1.0,37,0
347,84,1,1.0,1.0,47,0
327,84,1,1.0,0.0,54,0
578,21,1,17.0,17.0,56,0
578,21,1,94.0,94.0,56,0
578,23,3,60.0,32.0,60,0
380,84,1,2.0,2.0,33,0
439,84,2,77.0,0.0,53,0
354,96,1,2.0,2.0,45,0
538,84,1,4.0,11.0,44,0
51,84,3,73.0,3.0,50,0
538,84,3,33.0,1.0,72,0
327,84,2,10.0,0.0,54,0
228,84,3,83.0,5.0,49,0
275,84,1,3.0,3.0,43,0
373,90,2,7.0,5.0,63,0
291,84,2,44.0,2.0,54,0
113,84,2,61.0,1.0,43,0
416,84,1,2.0,3.0,45,0
416,84,2,31.0,0.0,39,0
266,84,1,2.0,0.0,78,0
266,84,1,10.0,2.0,60,0
533,84,1,2.0,6.0,72,0
436,84,1,3.0,1.0,52,0
6,84,1,3.0,2.0,63,0
538,84,2,24.0,1.0,56,0
538,84,1,1.0,1.0,49,0
357,84,1,1.0,0.0,46,0
26,84,4,11.0,18.0,65,0
65,84,1,1.0,1.0,59,0
65,84,1,1.0,0.0,65,0
65,84,1,30.0,4.0,63,0
